Loss,Fold,AUC,Accuracy,Precision,Recall
1,0.13337598741054535,0.9899188280105591,0.948699951171875,0.915277361869812,0.9282414317131042
2,0.15026184916496277,0.9856738448143005,0.9400253295898438,0.9298955798149109,0.8823901414871216
3,0.15379691123962402,0.9853566288948059,0.942626953125,0.8812870979309082,0.9294221997261047
4,0.20635654032230377,0.986748218536377,0.9190940856933594,0.7952236533164978,0.9891051054000854
5,0.2329600751399994,0.9349219799041748,0.9194297790527344,0.8770267367362976,0.770988941192627
6,0.4421628415584564,0.6544364094734192,0.8359565734863281,0.0,0.0
7,0.20011134445667267,0.9927731156349182,0.9353485107421875,0.7341565489768982,0.9852696061134338
8,0.12956738471984863,0.9815585017204285,0.9556083679199219,0.8792480826377869,0.92081218957901
